Name,Description,Duration,Year,Type
Balas en Furia,"En la China de la década de 1920, un bandido llega a una remota ciudad de provincia haciéndose pasar por su nuevo alcalde, donde se enfrenta a un tiránico noble local.","2 horas, 34 minutos",2009,movie
Inseparable,"Chuck se inmiscuye en la vida de su vecino Li, un ingeneniero con problemas laborales y personales.","1 horas, 54 minutos",2012,movie
Justo a tiempo,"Gene llega a su casa después de asistir al funeral de su exesposa. Al poco tiempo, secuestran a su hija. Recibe una pistola y la tarea de matar a una persona en una hora y quince minutos. De lo contrario, su hija será asesinada.","1 horas, 45 minutos",1994,movie
Mapa a las estrellas,"Un recorrido por el corazón de una familia de Hollywood que persigue a la celebridad, a los demás y a los implacables fantasmas de su pasado.","2 horas, 11 minutos",2013,movie
El árbol de la vida,"La historia de una familia en Waco, Texas en 1956. El hijo mayor es testigo de la pérdida de la inocencia y lucha con las enseñanzas contradictorias de sus padres.","2 horas, 42 minutos",2010,movie
Cloud Atlas,"Una exploración de cómo las acciones de las vidas individuales se impactan entre sí en el pasado, el presente y el futuro,  un alma pasa de ser un asesino a convertirse en un héroe, un acto de bondad se extiende  para inspirar una revolución","3 horas, 20 minutos",2012,movie
Agora,"Drama histórico sobre un esclavo que se vuelve hacia la creciente ola del cristianismo con la esperanza de buscar la libertad mientras se enamora de su amante, la profesora de filosofía y matemáticas Hipatia de Alejandría.","2 horas, 28 minutos",2010,movie
Las Zafiro,"Las Zafiro, cuatro chicas aborígenes australianas que apdrendieron sobre el amor, la amistad y la guerra, cuando Gail, Julie, Cynthia y Kay formaron un grupo musical de entretenimiento para las tropas de Estados Unidos en Vietnam en 1968","1 horas, 56 minutos",2012,movie
La Batalla de los Malditos,"Después de un brote viral mortal, el soldado militar privado Max Gatling lidera a un puñado de sobrevivientes y una banda heterogénea de robots contra un ejército de infectados.","1 horas, 44 minutos",2013,movie
El Experimento,Remake de la película alemana de 2001 Das experiment dirigida por Oliver Hirschbiegel. Cuenta la historia de 20 hombres que llegan a una cárcel ficticia buscando la forma de ganar dinero rápido. Deberán participar en un experimento sociológico.,"1 horas, 54 minutos",2010,movie
Match Point,un ex tenista profesional se enamora de una actriz que casualmente está saliendo con su amigo y futuro cuñado.,"2 horas, 26 minutos",2004,movie
El expreso del miedo,"Un experimento para solucionar el calentamiento global acabó matando a la mayoría de la vida existente en el planeta, los únicos sobrevivientes fueron los pasajeros del Snowpiercer.","2 horas, 28 minutos",2012,movie
The English Teacher,"Linda, una  profesora de inglés cuya reprimida vida personal convive con un marcado contraste con la pasión que lleva al salón de clases. Su vida cambia cuando el alumno estrella regresa a su pueblo tras fracasar como dramaturgo.","1 horas, 49 minutos",2013,movie
Blitz,"Blitz es un asesino en serie de Londres que está matando agentes de la policía. El inspector jefe Roberts y el sargento Brant, un duro, inflexible y políticamente incorrecto detective de la policía, se encargarán de intentar detener al psicópata.","1 horas, 55 minutos",2011,movie
The Expendables,"En 'The Expendables' el trío de héroes de acción compuesto por Stallone, Statham y Li formarán parte de un comando de mercenarios que se infiltrarán en un país de Sudamérica y lucharán contra un un cruel dictador para liberar a la población.","2 horas, 1 minutos",2009,movie
Derailed,"¡En un tren fuera de control que retiene rehenes y el agente de armas biológicas de alta tecnología, Kristoff (Van Damme) se convierte en un ejército de un solo hombre para descarrilar a los terroristas y salvar las vidas de todos a bordo!","1 horas, 44 minutos",2002,movie
Rambo 4,"El veterano de Vietnam John Rambo ha sobrevivido a muchas pruebas terribles en su vida y desde entonces se ha retirado a una isla simple y aislada en Tailandia, donde pasa su tiempo capturando serpientes para artistas locales.","1 horas, 47 minutos",2008,movie
Hermandad De Justicia,"Keanu Reeves, Kiefer Sutherland y Billy Zane son los mejores estudiantes de secundaria y crean un grupo de vigilantes en su vecindario. Pero, a medida que su poder aumenta, se vuelven más abusivos y peligrosos.","1 horas, 52 minutos",2000,movie
Sobre la ley,"Cuando un ex detective se entera del asesinato de su hijo , se aventura a regresar a las calles oscuras que una vez conoció tan bien. Armado, peligroso y sin nada que perder, debe enfrentarse a la despiadada mafia local en su misión de venganza.","1 horas, 45 minutos",2018,movie
Atrapen Al Gringo,"Un criminal capturado por las autoridades mexicanas es enviado a una prisión de mala muerte, donde debe recibir la ayuda de un niño de 10 años.","1 horas, 54 minutos",2012,movie
Kickboxer,"Cuando el campeón americano de kickboxing queda inválido al enfrentarse a un despiadado campeón tailandés, su hermano jura vengarse.","1 horas, 55 minutos",1988,movie
El Guardaespaldas,"Un policía de Los Ángeles vuela a Nuevo Mexico para trabajar como guardaespaldas de la hija de un poderoso hombre de negocios. Cuando unos gángsters la raptan, él los busca para rescatarla y protegerla.","1 horas, 52 minutos",2010,movie
La Armadura de Dios,"La ex novia de Asian Hawk (Jackie Chan), una cazadora de tesoros y su mejor amiga actual son secuestradas por villanos. Para ayudar a rescatarla, tendrá que encontrar la Armadura de Dios, que hace que quien la lleve sea invencible.","1 horas, 56 minutos",1985,movie
"Conan, el bárbaro","Hace muchos años, los brujos crearon la Máscara de Acheron y las fuerzas oscuras de Acheron conquistaron el mundo. Sin embargo, los bárbaros vencieron a los guerreros Acheron y rompieron la Máscara en pedazos y se dividieron entre las tribus.","2 horas, 12 minutos",2011,movie
Until Death,Jean-Claude Van Damme interpreta a un teniente sucio al que le gusta la heroína. Es amigo de los mafiosos del crimen organizado y todos lo odian.,"2 horas, 6 minutos",2007,movie
The Myth,"En 221 A.C, Qin Shihuang, el primer emperador de China, comenzó a construir una tumba real a pesar de pretender ser inmortal.","2 horas, 20 minutos",2005,movie
Killing Salazar,"Tom Jensen, un soldado altamente condecorado y el miembro más nuevo del servicio de transportando de los US Marshals, es asignado al transporte de Joseph “El Tiburón” Salazar de regreso a Estados Unidos donde testificará contra su antiguo cartel.","1 horas, 53 minutos",2015,movie
Swelter,"Diez años después de su atraco en el casino, cuatro convictos escaparon de su antiguo compañero a una ciudad desierta, donde ahora es un hombre de la ley sin memoria de su pasado criminal.","1 horas, 58 minutos",2013,movie
Badges of Fury,"Una ola de asesinatos sacude Hong Kong. El joven detective Wang Bu Er está seguro que son obra de un asesino en serie y, junto a su compañero Huang Fei Hong, maestro de kung-fu emprenderán una trepidante aventura para investigar el caso.","1 horas, 56 minutos",2012,movie
El reino prohibido,"Jason es joven de 17 años aficionado a las películas de kung-fu, cuyo sueño es ser como el Rey Mono. Un día, mientras busca algún DVD interesante en una casa de empeños de Chinatown, descubre un misterioso bastón.","2 horas, 2 minutos",2008,movie
Operación Condor - La Armadura de Dios 2,"Jackie, un talentoso cazador de tesoros, es contratado para recuperar 240 toneladas de oro que un comandante alemán, Hans von Katterling, y su regimiento enterraron en el desierto del Sahara antes del final de la Segunda Guerra Mundial.","2 horas, 5 minutos",1990,movie
El Vendedor Chino,"Yan Jian, un joven ingeniero chino se ofrece para ir al norte de África y ayudar a la compañía para la que trabaja a ganar una competencia. El espía francés Michael también intenta ganarla para controlar los grandes recursos minerales de África.","2 horas, 10 minutos",2017,movie
Contract To Kill,"John Harmon es un agente retirado del gobierno estadounidense conocido por derribar a la cabeza del cartel más grande de México. Ahora escondido en la peligrosa región fronteriza, Harmon es ""reactivado"" para un último trabajo.","1 horas, 45 minutos",2016,movie
Tráfico Humano,"Traumatizado por la muerte de un inocente, Bradley, un asesino a sueldo, se aparta de la sociedad y deambula por las peligrosas calles de un duro gueto del centro de la ciudad en busca de sentido para su vida.","1 horas, 55 minutos",2015,movie
El aprendiz,"Un ex-agente de la CIA vuelve a la acción para proteger a un testigo muy valioso, pero pronto se da cuenta de que los tiempos han cambiado y ya no puede confiar en nadie, ni siquiera en aquellos a los que consideraba sus amigos.","2 horas, 6 minutos",2013,movie
Kickboxer Represalias,"Kurt Sloan se ha prometido a sí mismo que no volvería a Tailandia, pero alguien le seda y le obliga a volver al país asiático. Cuando despierta, descubre que está en prisión porque quieren que se enfrente a Mongkut.","2 horas, 10 minutos",2018,movie
Dragon Blade,"Huo An es un comandante de la Brigada de Protección de las regiones occidentales, que se ve envuelto en las garras del mal y queda esclavizado.","2 horas, 3 minutos",2014,movie
Rescate Sangriento,"Un ganster ruso retirado, actualmente escritor de novelas, es tentado a volver a la vida criminal cuando descubre que su hija va a casarse con el hijo de su enemigo.","1 horas, 56 minutos",2009,movie
Agua Profunda,Black Water es una película de acción que gira en torno a un agente (Jean-Claude Van Damme) que despierta atrapado en una prisión secreta de la CIA a bordo de un submarino.,"2 horas, 2 minutos",2018,movie
24 horas para vivir,"Un asesino profesional muere durante uno de sus trabajos, pero es devuelto a la vida por un día para cumplir una importante misión.","1 horas, 50 minutos",2018,movie
Tensión en Siria,Dos pilotos iraníes están en una misión especial para rescatar a la gente de una pequeña ciudad siria que está rodeada por terroristas de ISIS. Ellos tendrán que enfrentar muchos desafíos antes de poder cumplir la misión.,"2 horas, 12 minutos",2022,movie
Siervos de la guerra,"Dos policías intentan resolver el asesinato de un médico. Poco a poco, descubren una maraña de corrupción, un lucrativo comercio de órganos humanos y ADN.","2 horas, 0 minutos",2018,movie
Mimic: No sigas las voces,"Una familia que aún se está recuperando de un incidente traumático es víctima de un ser sobrenatural. Inspirado en la leyenda urbana coreana del Jangsan Tiger, una criatura devoradora de hombres que atrae a las personas imitando una voz.","1 horas, 57 minutos",2022,movie
El imperio de las sombras,"Finales de los años 20, durante la ocupación japonesa de Corea. Un grupo de la Resistencia intenta traer explosivos desde China para destruir la base nipona en Seúl, mientras que los japoneses intentan detenerlos.","2 horas, 44 minutos",2022,movie
Sin rastro alguno,"Tras la muerte de su mujer, un policía deja la profesión para cuidar de su hija. Trabaja limpiando escenas de crímenes, pero un día, esa tarea rutinaria termina amenazando la vida estable que ha construido para su familia.","1 horas, 45 minutos",2006,movie
Delirio,"Con Ben Whishaw. Joseph es un guardia de seguridad del aeropuerto solitario atrapado en una vida sin propósito. En un impulsivo acto de rebelión, da rienda suelta a su ser más salvaje y vivirá un día furioso en las calles de Londres.","1 horas, 57 minutos",2022,movie
Avalancha: Desastre en la montaña,"Basado en hechos reales. Por primera vez, los escaladores chinos ascienden al Monte Everest desde la cara norte, conocida como el lado más desafiante de la montaña. El peligroso viaje los obliga a tomar decisiones de vida o muerte en todo momento.","2 horas, 16 minutos",2022,movie
Identidad alterada,"Al ser confundido con un agente de la CIA involucrado en el robo de un experimento militar, a Dean le inyectan una droga que provoca alucinaciones. Ahora su novia y un detective tienen solo seis horas para encontrar el antídoto y salvarle la vida.","1 horas, 54 minutos",2022,movie
Una visita al pasado,"Con Kurt Russel. Una estrella de fútbol resultó herida y ahora vive como granjero con su familia. En un juego del destino, tiene la oportunidad de viajar en el tiempo y recuperar su gloria, pero cambiar el pasado también altera su presente.","2 horas, 25 minutos",2022,movie
El enviado de Dios,La llegada de un perro a una familia en sufrimiento trae consuelo y compañía a un niño de 9 años y a un matrimonio dañado.,"1 horas, 43 minutos",2022,movie
Los intrusos,"Con Maisie Williams. Un grupo de amigos cree haber realizado el robo perfecto: la casa de una pareja de ancianos de viaje. Pero la pareja regresa temprano, y la situación se sale de control y se vuelve cada vez más espeluznante.","1 horas, 50 minutos",2022,movie
El precio del perdón,"Un viudo que pierde la custodia de su hija también pierde su empleo. Así que acepta conducir un camión por todo el país, sin hacer preguntas. Pero su vida cambiará cuando él descubre lo que transporta.","1 horas, 57 minutos",2022,movie
Reflejos siniestros,"Los estudiantes de un prestigioso internado se convierten en las próximas víctimas de la Reina de Espadas cuando juegan con un espejo que concede deseos, sin saber que el precio de los deseos es su alma.","1 horas, 39 minutos",2021,movie
Terror en el aire,"Basado en un accidente de avión real. Cuando el parabrisas de un avión comercial se rompe a 30.000 pies, un piloto y su tripulación harán cualquier cosa para garantizar la seguridad de los pasajeros y aterrizar el avión.","1 horas, 37 minutos",2021,movie
El Silbón: Orígenes,"Ángel fue marcado al nacer por una maldición. La muerte de su madre lo llevaron a convertirse en un espectro justiciero que comete actos sangrientos. La película está inspirada en un espíritu justiciero de leyendas venezolanas, que silba antes de atacar.","1 horas, 39 minutos",2021,movie
LBJ: La esperanza de una nación,"Al perder la nominación del Partido Demócrata ante Kennedy, Lyndon Johnson acepta actuar como su vice. Cuando asume el cargo después del asesinato del presidente, LBJ lucha para asegurar su presidencia aprobando la Ley de Derechos Civiles de Kennedy.","1 horas, 55 minutos",2021,movie
Inmersión,"Un encuentro casual en una playa francesa llevá un joven militar y una científica a vivir un romance intenso y duradero. Separados, y contemplando su posible muerte, el recuerdo mutuo los ayudará a ver belleza en la oscuridad.","2 horas, 11 minutos",2021,movie
Trumbo: la lista negra,"Con la ganadora del Oscar Helen Mirren y los nominado al Oscar Bryan Cranston y Diane Lane. En 1947, Trumbo era el guionista más exitoso de Hollywood, pero pasó a la lista negra de la industria cinematográfica y fue arrestado por sus ideas políticas.","2 horas, 26 minutos",2014,movie
Marioneta,Un joven actor cubano llega a México buscando una oportunidad. Por azar conoce a una chica en el metro y eso lo lleva directamente a trabajar para la mafia que controla a los limosneros que trabajan actuando en la ciudad.,"2 horas, 14 minutos",2018,movie
Un sueño peligroso,"Emma es una modelo emergente, luchando por abrirse espacio en el escenario de la moda parisina. Su glamurosa vida como top model se convierte en un verdadero drama, después de trabajar con un fotógrafo y descubrir su propio lado oscuro.","2 horas, 8 minutos",2016,movie
Un hombre a la altura,"Una hermosa y recién divorciada abogada recibe una llamada de un hombre que se ha encontrado su móvil. Él es educado y culto, y ella cae bajo su hechizo. Tienen una cita, pero su encuentro no es el esperado. Con el ganador del Oscar Jean Dujardin.","1 horas, 56 minutos",2015,movie
Guardián y verdugo,"En un marco histórico sumido en el Apartheid y la segregación racial, la película está basada en el suceso que ocurrió en 1987 en Pretoria, cuando Leon Labuchagne, un guardia de 17 años de edad de una prisión acribilló a disparos a siete personas.","2 horas, 6 minutos",2015,movie
Ma ma,"Con la ganadora del Oscar, Penélope Cruz. Tras ser diagnosticada con cáncer de mama, Magda una maestra en paro, reacciona con gran valentía y optimismo, por lo que impactará a toda su familia con momentos especiales para recordar.","2 horas, 11 minutos",2014,movie
El cazador de recompensas,"Atormentado por los horrores de la Guerra Civil, un ex soldado se gana la vida como cazarrecompensas. Cuando dos niños acuden a pedirle ayuda, el viejo vaquero deberá enfrentarse a su pasado y capturar a un viejo enemigo.","2 horas, 43 minutos",2019,movie
Fuerzas malignas,De vacaciones en Camboya el joven Ben y Amber se conocen y comienzan a vivir un amor apasionado. Las vacaciones perfectas se convierten rápidamente en una pesadilla cuando una entidad malvada comienza a perseguir a la chica.,"1 horas, 41 minutos",2017,movie
Hasta el final,Un padre decide llevar a su hija de campamento para mejorar su relación cuando son sorprendidos por el apocalipsis zombi. Ahora hará cualquier cosa para escapar de la horda de muertos y salvar a su familia.,"1 horas, 41 minutos",2021,movie
En el nombre del padre,"Maggie es una adolescente que vive bajo las reglas de su padre, un fanático religioso. La llegada de tres jóvenes a su remota granja hace temblar sus ciegas creencias, mientras su padre hará todo lo posible por mantener el control sobre la familia.","1 horas, 52 minutos",2021,movie
The Perfect Game,"Basado en una historia real. En 1957, un grupo de niños pobres de Monterrey, México, conmocionó al mundo al ganar 13 juegos seguidos y la Serie Mundial de Pequeñas Ligas en el único juego perfecto jamás lanzado en el Campeonato.","2 horas, 17 minutos",2008,movie
Paladin I: el cazador de dragones,"Después de que el padre de Will es asesinado por un dragón, se embarca en un viaje épico para buscar venganza contra el monstruo vicioso.","1 horas, 59 minutos",2011,movie
Paladin II:  The Crown And The Dragon,"Una joven noble debe cumplir con su llamado para convertirse en la nueva paladina, la legendaria mata-dragones.","1 horas, 49 minutos",2013,movie
La perla del dragón,"Los nuevos amigos Josh y Ling  visitan a sus respectivos padres en una excavación arqueológica en China, donde descubrirán un fantástico mundo de aventuras.","1 horas, 52 minutos",2011,movie
Time Toys,"Un grupo de niños descubren un cofre lleno de increíbles juguetes del futuro, que les servirán para salvar primero su barrio y después el planeta de un empresario loco.","1 horas, 42 minutos",2016,movie
Jack and The Beanstalk,"Basado en el clásico cuento de hadas, esta película de acción cuenta las aventuras de dos jóvenes en la cima de un árbol encantado y en un mundo mágico lleno de fantasía y peligro.","1 horas, 52 minutos",2009,movie
Pequeños hermanos,"Zef y su hermanito, Tutu, son dos felices los elefantes. ¿Quién no lo sería en el jardín más grande del mundo? - La salvaje sabana de África. Ellos alegremente perseguían cebras, avestruces y jabalíes, jugando y haciendo mil tonterías.","1 horas, 53 minutos",2006,movie
"Lucky, el elefante de la suerte","Un chico huérfano tiene como mejor amigo a un elefante, con el cual emprendió un viaje dispuestos a buscar el éxito.","1 horas, 49 minutos",2013,movie
El Septimo Enanito,"Cuando Bobo, el más joven de los siete enanitos, pica accidentalmente a la princesa Rose (también conocida como la Bella Durmiente) y envía al reino a un sueño de un siglo, Bobo y los otros seis enanitos deben viajar al futuro para revivir a Rose.","1 horas, 43 minutos",2013,movie
Wizard of Oz,"Acompaña a Dorothy en su increíble viaje a través de Oz con nuevos amigos, el espantapájaros, el hombre de hojalata y el león, en busca de las puertas doradas y el hogar al que realmente pertenece.","0 horas, 31 minutos",2005,movie
Cinderella,"Cenicienta sirve a sus hermanastras hasta que su hada madrina la lleva al baile. Enamorada del príncipe, debe apresurarse antes de que el hechizo desaparezca. El príncipe busca por el reino y viven felices para siempre","0 horas, 30 minutos",2004,movie
Snow White,"Blancanieves escapa de su celosa madrastra y vive con siete enanitos en el bosque. La Reina malvada la envenena, sumiéndola en un sueño sin tiempo. Un príncipe fiel la despierta con un beso, rompiendo el hechizo maligno.""","0 horas, 32 minutos",2007,movie
Sleeping Beauty,"Buenas hadas y la malvada bruja Úrsula ofrecen regalos a la princesita. Úrsula lanza una maldición de cien años. Un valiente príncipe rompe el hechizo con un beso, despertando a la princesa del largo sueño.""","0 horas, 29 minutos",2004,movie
Atlantis,"Explora la ciudad perdida de Atlantis, su poder y su inevitable destrucción. La princesa Elan se enamora de Terra y, tras la muerte de la Reina a manos de Belial, busca salvar a su pueblo recuperando los cristales del aire, agua, tierra y fuego.","1 horas, 1 minutos",2004,movie
Chihuahua: La Película,Una mujer malhumorada y recientemente divorciada se ve obligada a cambiar sus prioridades cuando se despierta en el cuerpo de una Chihuahua llamada Bella que visita a los niños enfermos en un hospital donde ella es un perro terapéutico.,"1 horas, 44 minutos",2010,movie
Mi Amigo Ninja,Una muñeca Ninja poseída se une a un adolescente para vengar el asesinato de un niño.,"1 horas, 35 minutos",2018,movie
Mi Pequeño Mono,"Deportado de China, un mono muy especial llega a Suecia y es adoptado por una familia que ni siquiera sospecha que el animal es mucho más inteligente de lo normal y se mete en muchos problemas.","1 horas, 46 minutos",2017,movie
Una prueba de fe,John y Alexa Taylor parecen tener la vida perfecta. Son la envidia de todos los padres de la ciudad. Su hijo Beau es la estrella del fútbol de la escuela y su hija Ravyn es la estudiante número uno.,"1 horas, 43 minutos",2019,movie
Edhel,Edhel tiene una malformación en las orejas que parecen las de un elfo. Afronta su malestar evitando relacionarse con la gente. El encuentro un extraño conserje de la escuela convence a la niña de pertenecer a la noble línea de los Elfos.,"1 horas, 39 minutos",2016,movie
The Enchanted Cave,"La película cuenta una historia sobre la esperanza, pero también sobre la codicia humana.  Un emocionante cuento de hadas lleno de suspense arrastra al espectador a las profundidades de una misteriosa cueva hasta que no quiere salir a la superficie.","1 horas, 55 minutos",2020,movie
The Graciuos Ghost,"La historia, basada en el cuento de Hans Christian Andersen El polvorín. Voita adquiere un polvorín de oro con el que puede conjurar al fantasma y pedirle que cumpla tres deseos.","1 horas, 49 minutos",2020,movie
Cómo no casarse con una princesa,"Tras el nacimiento del príncipe, tres Parcas predicen una profecía. Un cuento de hadas sobre viajes en el tiempo, cambiar el curso del destino y descubrir que una profecía puede ser la mayor de las bendiciones.","1 horas, 46 minutos",2020,movie
La locura de la historia,"Atti, un adolescente romano inteligente e ingenioso, logra molestar al emperador Nerón con uno de sus planes.","1 horas, 50 minutos",2019,movie
El Gran Cambio,"Una familia al borde del colapso se encuentra atrapada en el cuerpo del otro. ""Freaky Friday"" va a la iglesia, en esta sentida comedia familiar.","1 horas, 46 minutos",2018,movie
The Ghost Club,"Un grupo de niños descubre a un fantasma amistoso llamado Carolyn, que acecha en un bosque cercano, y trata de idear un plan para capturarla.","1 horas, 41 minutos",2002,movie
¿Y dónde está el piloto? II,"Hay un loco bombardero a bordo, el primer trasbordador a la luna está por auto-destruirse, los motores no están funcionado, y lo peor de todo, la tripulación del vuelo descubre que están ¡completamente locos!","1 horas, 40 minutos",1981,movie
¿Y dónde está el piloto?,"Considerada ""una de las 10 películas más divertidas de la historia"" por el American Film Institute, ""¿Y dónde está el piloto?"" es una obra maestra de la comedia de disparate.","1 horas, 43 minutos",1979,movie
El Mundo Según Wayne,"En la tradición de LOS DIEZ MANDAMIENTOS, LAWRENCE DE ARABIA, y GANDHI llega un poema épico lleno de espectáculo y drama.","1 horas, 52 minutos",1991,movie
El Mundo según Wayne 2,"Los dos roqueros favoritos de Aurora, Illinois, están de vuelta en esta secuela de la comedia de 1992, El mundo de Wayne.","1 horas, 52 minutos",1992,movie
The Four 1,"Un departamento del gobierno conocido como Six Panels nombra a su mejor oficial para infiltrarse en una fuerza especial llamada Divine Constabulary, para asegurarse de detener la circulación de monedas falsas en la capital.","2 horas, 18 minutos",2011,movie
The Four 2,"Cuatro detectives, cada uno con poderes sobrenaturales, dedican sus habilidades únicas y especiales a resolver crímenes y detener a poderosos criminales.","2 horas, 17 minutos",2012,movie
The Four 3,"Un escuadrón de élite sale a resolver el misterio del emperador Huizong, desaparecido tras un atentado contra su vida.","2 horas, 6 minutos",2013,movie
War of the Worlds,"En esta nueva versión moderna del clásico horror de ciencia ficción de H.G. Wells, la civilización se arruina cuando una súper raza de extraterrestre invade la Tierra.","1 horas, 45 minutos",2004,movie
War of the Worlds 2: The Next Wave,"Dos años después de la invasión marciana, se dan cuenta de los peores temores de George Herbert: han regresado.","1 horas, 45 minutos",2007,movie
3 A.M.,"Todas las historias tienen lugar a las 3 am, la hora más aterradora de la noche, ya que es el momento en que los espíritus son libres para vagar libremente.","1 horas, 53 minutos",2019,movie
3 A.M. 2 : La hora de la muerte,"Basado en la creencia de que las 3 am es el momento en que el mundo de los muertos y los vivos chocan, sigue 3 historias de terror:","2 horas, 2 minutos",2019,movie
La Invocación,Akane es una maestra que escucha de sus alumnos el rumor de que hay imágenes de alguien suicidándose en Internet. Estas imágenes llevan a quienes también las ven a suicidarse.,"1 horas, 54 minutos",2019,movie
La Invocación 2,"Pasaron muchos años después de los misteriosos y terribles hechos provocados por una cinta de vídeo maldita, que provocó la muerte de varias personas.","1 horas, 54 minutos",2019,movie
Las Guerras Inmortales,"Después de que una guerra catastrófica sume al mundo en el caos, surge una nueva raza de seres con superpoderes conocidos como ""desviados"".","1 horas, 50 minutos",2017,movie
Las guerras inmortales 2: Resurgimiento,La guerra por la libertad acaba de comenzar. Trikalypse une fuerzas con el líder rebelde y un equipo de luchadores por la libertad para acabar con Dominion y exponer su malvada corporación al mundo.,"2 horas, 12 minutos",2020,movie
Las Guerras inmortales: Renacimiento,"Rebirth tiene lugar durante las primeras etapas brutales de Dominion Industries. En esta historia, Olive y otros desviados se someten a una serie de experimentos mortales dirigidos por Laurie Harvey y su equipo.","1 horas, 40 minutos",2020,movie
Hada de dientes,"Los adultos de una pequeña comunidad agrícola se reúnen, comienzan a darse cuenta de que el hada de los dientes malditos, que los traumatizó en su juventud, está suelta de nuevo. ¡Esta vez, viniendo tras sus hijos!","1 horas, 41 minutos",2019,movie
Hada de dientes: la raiz del mal,"20 años después de ser aterrorizada por el Hada de los Dientes, Corey comienza a sospechar que ha regresado para terminar el trabajo.","1 horas, 49 minutos",2020,movie
Hada de los dientes: la última extracción,"Corey y su hija, Sally, decidieron irse de vacaciones de verano con sus amigos, Diane, Christy, Toby y Benny. Poco saben, el pasado de Corey lo alcanzará.","1 horas, 51 minutos",2021,movie
"Inuyasha, The Castle beyond the looking Glass","Después de que los héroes aparentemente derrotan a Naraku; Inuyasha, Kagome y Shippo están separados de Miroku y Sango. Kagura y Kanna se encuentran con Kaguya, la Princesa de los Cielos, sellada en un espejo.","1 horas, 57 minutos",2003,movie
"Inuyasha, Fire in the Mystic Island","En la Isla Horai, una mujer que se parece a Kikyō, deja caer una esfera verde al Caldero de Resonancia. Libera a los cuatro dioses de la guerra y las cicatrices aparecen en el resto de los niños medio demonio.","1 horas, 42 minutos",2001,movie
"Inuyasha, Swords of an Honorble ruler","En el actual Tokio, la familia de Kagome envía una espada al almacén. Resulta ser So'unga, rompe el hechizo de setecientos años del espíritu de la vaina, Saya. Cuando Inuyasha toca la espada, la posee y la trae de vuelta al pasado.","1 horas, 55 minutos",2002,movie
Inuyasha The Movie: Affections touching across time,"El padre de Inuyasha derrotó a una poderosa polilla yōkai china llamada Hyōga, hace quinientos años. El fragmento de Joya Shikon revive a su hijo, Menōmaru, y a sus fieles sirvientes, Ruri y Hari (que planean vengar a su familia).","1 horas, 58 minutos",2000,movie
The Naples Heist,"Cada uno de ellos es un maestro en su especialidad, cinco hombres intentan llevar a cabo el mayor robo de sus vidas: el Banco de Nápoles.","1 horas, 46 minutos",2014,movie
Peleador misterioso - Proyecto A,"Un joven es golpeado y no puede recordar quién es, pero pronto descubre que tiene dos habilidades significativas. Él sabe mucho sobre cocinar, y es un hábil artista marcial.","1 horas, 59 minutos",2018,movie
La Última Pelea,"Un ex campeón de lucha NCAA está en libertad condicional después de 10 años de prisión. Ahora, para salvar la vida de un amigo, acepta participar en combates extremos. Sin embargo, se le pide que haga lo imposible: perder.","1 horas, 51 minutos",2012,movie
La Trampa,"Un grupo de amigos planea con éxito el robo de unos diamantes, pero no cuentan con que uno de ellos los traicionará.","1 horas, 40 minutos",2010,movie
Cuenta regresiva,Las superestrellas de WWE Dolph Ziggler y Kane lideran la acción en esta electrizante y emocionante película de suspenso.,"1 horas, 46 minutos",2016,movie
El sustituto 4,Encubierto y en peligro: Treat Williams encarna a un policía que se hace pasar por profesor en una escuela militar de élite amenazada desde adentro por neonazis clandestinos.,"1 horas, 49 minutos",2001,movie
Stretch,Un desafortunado conductor de limusina lucha por seguir adelante y pagar una deuda con su corredor de apuestas. Toma un trabajo con un pasajero enloquecido cuyo libro buscado implica a algunos criminales muy peligrosos.,"1 horas, 52 minutos",2013,movie
El sustituto,"Una maestra es atacada por los miembros de una pandilla de la escuela, así que su novio un soldado cazafortunas,  Shale, decide tomar el asunto en sus propias manos. Este se convierte en el nuevo maestro suplente y trabaja de encubierto para investigar","2 horas, 13 minutos",1996,movie
Thunder of War,"En noviembre de 1941, un escuadrón restante de soldados soviéticos debe detener una columna de tanques alemanes nazis.","2 horas, 21 minutos",2015,movie
Bienvenido a la Jungla,Un empleado que es víctima del bullying debe dar rienda suelta a su bestia interior después de que un retiro de trabajo en equipo en la jungla sale mal.,"1 horas, 52 minutos",2013,movie
Nacido para correr,"Born To Race es la historia de Danny Krueger, un joven corredor callejero rebelde en un curso de colisión con problemas.","1 horas, 52 minutos",2010,movie
Acorralados,"Una banda de ladrones que huye tras atracar un banco se topa con una familia que se encuentra de acampada. Aprovechando la ocasión, los criminales esconderán el dinero robado en su coche mientras éstos descansan","1 horas, 44 minutos",2012,movie
Contrario de Sangre,"Dimitri y James, dos poderosos asesinos de élite a sueldo del gobierno, se reencuentran después de su último trabajo en el sudeste asiático.","1 horas, 42 minutos",2017,movie
Luna Llena,Un pistolero del salvaje oeste regresa de la tumba para evitar que una banda de hombres lobo sedientos de sangre aterrorice a un pequeño pueblo.,"1 horas, 50 minutos",2018,movie
Balas Voladoras,"Durante un período de batallas entre señores de la guerra en el sur de China, se producen varios asesinatos en una fábrica de municiones. Con un detalle: las balas desaparecen. Un detective y su compañero, un experto tirador, inician la investigación.","2 horas, 7 minutos",2011,movie
