Name,Description,Duration,Year,Type
What Just Happened,"Una semana en la vida de Ben, un poderoso productor de Hollywood, mientras hace malabarismos con las negociaciones con un director de estudio para que su última película pueda estrenarse en Cannes en dos semanas.","2 horas, 2 minutos",2008,movie
Una familia peligrosa,Un jefe de la mafia y su familia son trasladados a un pueblo tranquilo en Francia bajo el programa de protección de testigos después de delatar a la mafia.,"2 horas, 11 minutos",2013,movie
American Psycho 2,"La única sobreviviente, Patrick Bateman, se convierte en una profesora asistente mientras desarrolla sus propias obsesiones homicidas y destruye a todos los que se interpongan en su camino después de 15 años del terrorífico evento.","1 horas, 44 minutos",2020,movie
Amor Rebelde,Un grupo de amigos vive en Londres creando arte y disfrutando de un estilo de vida ocioso y acelerado.,"1 horas, 42 minutos",2015,movie
Gunman,Jim Terrier es una espía internacional que ha sido traicionado por la organización para la que trabajaba. Debido a ello decide dejar atrás su antigua vida de agente encubierto para casarse con su novia Annie y mudarse a otro estado.,"2 horas, 15 minutos",1969,movie
Consigue un Trabajo,"Miles Teller, Anna Kendrick y Bryan Cranston protagonizan esta comedia fresca y perversamente divertida sobre conseguir un trabajo en una economía difícil.","1 horas, 38 minutos",2020,movie
El Dador de Recuerdos,Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.,"1 horas, 55 minutos",2014,movie
Fantasmas de Guerra,Cinco soldados estadounidenses asignados para ocupar un castillo francés cerca del final de la Segunda Guerra Mundial.,"1 horas, 53 minutos",2020,movie
Lejos de la Tierra Quemada,Los hijos de dos amantes muertos intentan entender lo que les sucedió a sus padres.,"1 horas, 58 minutos",2008,movie
Serena,"En la Carolina del Norte de los Años 20, el futuro del imperio maderero de George Pemberton se complica cuando se casa con Serena.","2 horas, 9 minutos",2015,movie
Conspiración Mortal,Un suceso violento desencadena una serie de eventos trágicos vistos desde diferentes perspectivas en una ciudad de los Estados Unidos.,"1 horas, 54 minutos",2013,movie
Ritmo de un Sueño,"La historia de DJay, un proxeneta cuyo ajetreo vendiendo a la sexy Nola lo deja preguntándose si este es su fin. Solo cuando se encuentra con su viejo compañero de la escuela, Key, encuentra una salida componiendo canciones.","2 horas, 16 minutos",2005,movie
Locos en Brooklyn,"Henry Altmann, enojado como siempre, se despierta con un terrible dolor de cabeza. Una nueva doctora, Sharon Gill, vendrá a verte.","1 horas, 51 minutos",2013,movie
